POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,Median House Price 2022,A Crimes against the person 2023,B Property and deception offences 2023,C Drug offences 2023,D Public order and security offences 2023,E Justice procedures offences 2023,F Other offences 2023,Total Crime 2023,Estimated_Resident_Population_2021,School_Count_2022,Hospital_Count_2023,Police_Count_2023,Supermarket_Count_2023
3003,Inner City municipalities and their suburbs,City of Melbourne,Inner,West Melbourne,1387500.0,130,538,60,64,70,7,869,7619,1,0.0,0.0,1.0
3011,Western municipalities and their suburbs,City of Maribyrnong,Mid,"Footscray, Seddon",1020000.0,434,1402,100,138,287,4,2365,17420,6,1.0,1.0,1.0
3012,Western municipalities and their suburbs,City of Maribyrnong,Mid,"Brooklyn, Brooklyn, Kingsville, Maidstone, West Footscray",986125.0,181,1194,39,49,142,0,1605,11885,3,0.0,0.0,1.0
3013,Western municipalities and their suburbs,City of Maribyrnong,Mid,"Yarraville, Aintree, Bonnie Brook",871666.6666666666,86,575,30,32,69,0,792,15653,5,0.0,0.0,1.0
3015,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Newport, Spotswood, South Kingsville",1170833.3333333333,87,595,19,28,63,1,793,18985,6,0.0,0.0,0.0
3016,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Williamstown, Williamstown North",1342000.0,113,753,30,39,101,5,1041,16074,6,1.0,1.0,1.0
3018,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Altona, Seaholme",1147500.0,98,309,30,30,77,5,549,13652,5,0.0,1.0,1.0
3019,Western municipalities and their suburbs,City of Maribyrnong,Mid,Braybrook,795000.0,154,646,53,52,103,0,1008,19361,6,0.0,0.0,0.0
3020,Western municipalities and their suburbs,City of Brimbank,Mid,"Albion, Sunshine, Sunshine North, Sunshine West",796625.0,603,2317,152,196,1114,6,4388,9576,18,0.0,1.0,1.0
3021,Western municipalities and their suburbs,City of Brimbank,Mid,"Albanvale, Kealba, Kings Park, St Albans",653875.0,716,1980,206,220,434,9,3565,14081,17,1.0,0.0,1.0
3022,Western municipalities and their suburbs,City of Brimbank,Mid,Ardeer,682000.0,32,116,5,10,31,1,195,7595,2,0.0,0.0,0.0
3023,Western municipalities and their suburbs,City of Brimbank,Mid,"Cairnlea, Deer Park, Burnside, Burnside Heights, Caroline Springs, Cobblebank, Deanside",729928.5714285715,479,1531,106,104,386,8,2614,10144,15,0.0,1.0,1.0
3024,Western municipalities and their suburbs,City of Wyndham,Outer,"Manor Lakes, Wyndham Vale, Mambourin",619833.3333333334,385,912,52,53,196,2,1600,10781,5,0.0,0.0,1.0
3025,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Altona North, Altona East",1018750.0,102,563,28,38,83,3,817,15086,3,0.0,1.0,1.0
3028,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Altona Meadows, Laverton South, Laverton, Seabrook, Laverton",714250.0,266,766,45,61,116,1,1255,18665,8,0.0,1.0,1.0
3029,Western municipalities and their suburbs,City of Wyndham,Outer,"Truganina, Weir Views, Hoppers Crossing, Tarneit, Truganina",626625.0,1146,3622,138,204,578,13,5701,18663,26,0.0,1.0,1.0
3030,Western municipalities and their suburbs,City of Wyndham,Outer,"Derrimut, Point Cook, Sanctuary Lakes, Werribee, Werribee South",753800.0,1241,3145,228,256,1016,8,5894,8751,25,1.0,1.0,1.0
3031,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Flemington, Kensington",1151750.0,176,877,152,69,106,2,1382,9190,7,0.0,1.0,1.0
3032,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Ascot Vale, Travancore, Maribyrnong",1310000.0,298,1557,74,70,152,1,2152,15351,7,0.0,0.0,1.0
3033,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Keilor East, Keilor East",992500.0,75,266,19,9,59,0,428,15174,4,0.0,0.0,0.0
3034,Northern municipalities and their suburbs,City of Moonee Valley,Mid,Avondale Heights,990000.0,72,186,11,13,71,4,357,12471,2,0.0,1.0,1.0
3036,Western municipalities and their suburbs,City of Brimbank,Mid,"Keilor, Keilor",1000000.0,29,137,4,7,20,3,200,8596,4,0.0,0.0,0.0
3037,Western municipalities and their suburbs,City of Brimbank,Mid,"Delahey, Sydenham",678750.0,192,517,55,55,160,2,981,8154,9,0.0,0.0,1.0
3038,Western municipalities and their suburbs,City of Brimbank,Mid,"Keilor Downs, Keilor Lodge, Taylors Lakes",861666.6666666666,196,740,42,48,153,0,1179,13193,6,1.0,1.0,1.0
3039,Northern municipalities and their suburbs,City of Moonee Valley,Mid,Moonee Ponds,1550000.0,168,709,19,35,129,1,1061,16406,3,0.0,1.0,1.0
3040,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Aberfeldie, Essendon, Essendon West",1650166.6666666667,170,688,41,45,97,3,1044,16180,10,0.0,0.0,1.0
3041,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Essendon North, Strathmore, Strathmore Heights",1355833.3333333333,81,408,22,16,89,0,616,10108,5,0.0,1.0,1.0
3042,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Airport West, Niddrie, Keilor Park",1041333.3333333334,119,655,26,31,94,0,925,8237,5,1.0,0.0,1.0
3043,Northern municipalities and their suburbs,City of Moreland,Mid,"Gladstone Park, Tullamarine, Gowanbrae, Tullamarine",796666.6666666666,165,709,34,24,95,3,1030,3141,5,0.0,0.0,1.0
3044,Northern municipalities and their suburbs,City of Moreland,Mid,"Pascoe Vale, Pascoe Vale South, Coonans Hill",1150833.3333333333,181,508,25,19,120,2,855,10461,7,1.0,0.0,1.0
3046,Northern municipalities and their suburbs,City of Moreland,Mid,"Glenroy, Hadfield, Oak Park",964333.3333333334,385,1122,86,66,270,2,1931,6295,10,0.0,1.0,1.0
3047,Northern municipalities and their suburbs,City of Hume,Outer,"Broadmeadows, Dallas, Jacana",590333.3333333334,516,1370,126,141,870,2,3025,14071,14,1.0,1.0,1.0
3048,Northern municipalities and their suburbs,City of Hume,Outer,"Coolaroo, Meadow Heights",555000.0,256,549,50,29,193,3,1080,15078,4,0.0,0.0,1.0
3051,Inner City municipalities and their suburbs,City of Melbourne,Inner,North Melbourne,1305000.0,199,870,34,56,137,6,1302,15998,5,1.0,1.0,1.0
3052,Inner City municipalities and their suburbs,City of Melbourne,Inner,Parkville,1910000.0,117,490,24,108,56,2,797,7446,3,1.0,0.0,0.0
3053,Inner City municipalities and their suburbs,City of Melbourne,Inner,Carlton,1500000.0,277,1466,47,81,111,1,1983,17198,2,0.0,0.0,1.0
3054,Inner City municipalities and their suburbs,City of Yarra,Inner,"Carlton North, Carlton North, Princes Hill",1768750.0,52,419,10,13,19,0,513,8295,3,0.0,0.0,1.0
3055,Northern municipalities and their suburbs,City of Moreland,Mid,Brunswick West,1285500.0,138,549,16,19,93,0,815,14499,4,0.0,0.0,1.0
3056,Northern municipalities and their suburbs,City of Moreland,Mid,Brunswick,1325000.0,265,1588,53,67,187,5,2165,13091,3,0.0,1.0,1.0
3057,Northern municipalities and their suburbs,City of Moreland,Mid,Brunswick East,1355000.0,78,598,6,17,47,0,746,12963,3,0.0,0.0,1.0
3058,Northern municipalities and their suburbs,City of Moreland,Mid,"Coburg, Coburg East, Coburg North",1095833.3333333333,307,1455,55,66,236,2,2121,12672,11,1.0,0.0,1.0
3059,Northern municipalities and their suburbs,City of Hume,Outer,Greenvale,880000.0,98,301,15,19,58,0,491,22391,6,0.0,0.0,0.0
3060,Northern municipalities and their suburbs,City of Moreland,Mid,Fawkner,770000.0,165,344,19,21,96,0,645,14193,6,0.0,0.0,1.0
3061,Northern municipalities and their suburbs,City of Hume,Outer,Campbellfield,605000.0,128,586,16,48,69,3,850,16255,1,0.0,0.0,0.0
3064,Northern municipalities and their suburbs,City of Hume,Outer,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook",661400.0,972,2234,131,125,563,17,4042,8197,22,1.0,1.0,1.0
3065,Inner City municipalities and their suburbs,City of Yarra,Inner,Fitzroy,1502500.0,362,1264,48,91,133,1,1899,10609,3,1.0,1.0,1.0
3066,Inner City municipalities and their suburbs,City of Yarra,Inner,Collingwood,1295500.0,213,1062,32,61,184,1,1553,9348,3,0.0,1.0,1.0
3067,Inner City municipalities and their suburbs,City of Yarra,Inner,Abbotsford,1341500.0,146,743,68,57,84,2,1100,9262,2,0.0,1.0,1.0
3068,Inner City municipalities and their suburbs,City of Yarra,Inner,"Clifton Hill, Fitzroy North",1670000.0,140,840,17,31,87,5,1120,12955,8,0.0,0.0,1.0
3070,Northern municipalities and their suburbs,City of Darebin,Mid,"Northcote, Westgarth",1784250.0,137,927,19,29,67,3,1182,15230,6,0.0,1.0,1.0
3071,Northern municipalities and their suburbs,City of Darebin,Mid,Thornbury,1455000.0,94,661,25,37,76,0,893,19152,8,0.0,0.0,1.0
3072,Northern municipalities and their suburbs,City of Darebin,Mid,Preston,1158000.0,493,2134,128,122,408,5,3290,20997,13,0.0,1.0,1.0
3073,Northern municipalities and their suburbs,City of Darebin,Mid,Reservoir,940000.0,546,1859,207,168,504,6,3290,14989,14,1.0,1.0,1.0
3074,Northern municipalities and their suburbs,City of Whittlesea,Outer,Thomastown,710000.0,258,825,96,61,187,3,1430,20211,8,0.0,0.0,1.0
3075,Northern municipalities and their suburbs,City of Whittlesea,Outer,Lalor,700000.0,194,354,54,42,131,2,777,10032,8,0.0,0.0,1.0
3076,Northern municipalities and their suburbs,City of Whittlesea,Outer,Epping,677000.0,422,1171,82,75,262,0,2012,13272,10,1.0,1.0,1.0
3078,Inner City municipalities and their suburbs,City of Yarra,Inner,"Alphington, Fairfield, Alphington, Fairfield",1997500.0,83,395,4,14,41,0,537,9072,4,1.0,0.0,1.0
3079,Northern municipalities and their suburbs,City of Banyule,Mid,"Ivanhoe, Ivanhoe East",2085000.0,85,485,17,23,65,2,677,12561,6,1.0,0.0,1.0
3081,Northern municipalities and their suburbs,City of Banyule,Mid,"Heidelberg Heights, Heidelberg West",924000.0,240,583,73,65,239,2,1202,15038,2,0.0,0.0,1.0
3082,Northern municipalities and their suburbs,City of Whittlesea,Outer,Mill Park,786000.0,251,664,56,45,197,3,1216,17647,6,0.0,1.0,1.0
3083,Northern municipalities and their suburbs,City of Banyule,Mid,"Bundoora, Bundoora, Kingsbury, Bundoora",817500.0,244,1047,83,69,209,3,1655,9925,9,1.0,0.0,1.0
3084,Northern municipalities and their suburbs,City of Banyule,Mid,"Eaglemont, Heidelberg, Rosanna, Viewbank",1567500.0,181,540,56,66,796,2,1641,16202,10,1.0,1.0,1.0
3087,Northern municipalities and their suburbs,City of Banyule,Mid,"Watsonia, Watsonia North",903000.0,26,154,9,10,54,1,254,9303,3,0.0,0.0,1.0
3088,Northern municipalities and their suburbs,City of Banyule,Mid,"Briar Hill, Greensborough, St Helena, Greensborough",1059333.3333333333,149,540,27,36,133,7,892,20997,11,0.0,1.0,1.0
3094,Northern municipalities and their suburbs,City of Banyule,Mid,Montmorency,1110000.0,38,73,7,10,15,0,143,16658,4,0.0,0.0,1.0
3095,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,"Eltham, Eltham North, Eltham, Eltham North, Research",1297833.3333333333,127,368,17,23,92,2,629,23711,11,0.0,1.0,1.0
3096,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Wattle Glen,950000.0,2,12,1,0,1,0,16,14539,1,0.0,0.0,0.0
3099,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Hurstbridge,950000.0,25,62,4,5,5,0,101,3573,4,0.0,1.0,0.0
3101,Eastern municipalities and their suburbs,City of Boroondara,Mid,Kew,2850000.0,143,668,13,34,85,1,944,11725,12,1.0,1.0,1.0
3102,Eastern municipalities and their suburbs,City of Boroondara,Mid,"Kew East, Kew North",2147500.0,33,159,4,4,20,0,220,6557,3,0.0,1.0,1.0
3103,Eastern municipalities and their suburbs,City of Boroondara,Mid,"Balwyn, Deepdene",2925750.0,67,321,6,14,27,2,437,16332,5,0.0,0.0,1.0
3104,Eastern municipalities and their suburbs,City of Boroondara,Mid,Balwyn North,2230000.0,67,400,10,11,30,0,518,21411,7,0.0,0.0,1.0
3105,Eastern municipalities and their suburbs,City of Manningham,Mid,Bulleen,1395000.0,43,180,11,2,42,0,278,11371,3,0.0,0.0,1.0
3106,Eastern municipalities and their suburbs,City of Manningham,Mid,Templestowe,1621500.0,63,206,6,14,24,0,313,17105,3,0.0,0.0,1.0
3107,Eastern municipalities and their suburbs,City of Manningham,Mid,"Templestowe Lower, Macedon",1231500.0,60,218,6,6,34,0,324,14278,4,0.0,0.0,1.0
3108,Eastern municipalities and their suburbs,City of Manningham,Mid,Doncaster,1500000.0,160,775,30,37,105,2,1109,25172,4,0.0,0.0,1.0
3109,Eastern municipalities and their suburbs,City of Manningham,Mid,Doncaster East,1535000.0,151,394,21,17,51,1,635,15792,6,0.0,1.0,1.0
3111,Eastern municipalities and their suburbs,City of Manningham,Mid,Donvale,1440000.0,45,144,7,4,15,0,215,16406,5,1.0,0.0,0.0
3113,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Warrandyte,1300000.0,29,44,1,2,8,0,84,10183,3,0.0,1.0,0.0
3116,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Chirnside Park,920000.0,87,235,8,21,51,1,403,11873,2,0.0,0.0,1.0
3121,Inner City municipalities and their suburbs,City of Yarra,Inner,"Burnley, Cremorne, Richmond",1424666.6666666667,482,2085,187,172,286,6,3218,17972,9,1.0,1.0,1.0
3122,Eastern municipalities and their suburbs,City of Boroondara,Mid,Hawthorn,2475000.0,128,783,14,14,58,2,999,10037,8,1.0,0.0,1.0
3123,Eastern municipalities and their suburbs,City of Boroondara,Mid,Hawthorn East,2521500.0,79,416,7,14,36,1,553,15898,5,0.0,0.0,1.0
3124,Eastern municipalities and their suburbs,City of Boroondara,Mid,Camberwell,2650000.0,92,634,11,21,74,2,834,21512,4,0.0,1.0,0.0
3125,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Burwood, Burwood",1381000.0,70,456,29,13,45,0,613,12543,4,1.0,1.0,1.0
3127,Eastern municipalities and their suburbs,City of Boroondara,Mid,"Mont Albert, Mont Albert North, Surrey Hills, Mont Albert, Surrey Hills",2094333.3333333333,67,347,13,10,41,0,478,16090,5,1.0,0.0,1.0
3128,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Box Hill, Box Hill South",1576250.0,247,1049,45,54,159,4,1558,23232,5,1.0,1.0,1.0
3129,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Box Hill North, Mont Albert North",1484000.0,61,283,17,8,21,0,390,18304,5,1.0,0.0,0.0
3130,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Blackburn, Blackburn North, Blackburn South",1358666.6666666667,154,677,12,26,90,3,962,22360,11,0.0,0.0,1.0
3131,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Nunawading, Forest Hill, Nunawading",1152750.0,157,648,27,24,99,2,957,10866,4,1.0,1.0,1.0
3132,Eastern municipalities and their suburbs,City of Whitehorse,Mid,Mitcham,1200000.0,95,312,9,12,52,1,481,16935,5,1.0,1.0,1.0
3133,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Vermont, Vermont South",1309500.0,77,372,16,8,39,0,512,11083,9,1.0,0.0,1.0
3134,Eastern municipalities and their suburbs,City of Maroondah,Mid,"Ringwood North, Ringwood, Ringwood North, Warranwood",1193833.3333333333,348,1152,90,128,849,1,2568,18919,12,0.0,1.0,1.0
3135,Eastern municipalities and their suburbs,City of Maroondah,Mid,"Heathmont, Eastwood, Ringwood East",880666.6666666666,133,304,41,25,93,0,596,21351,7,1.0,0.0,1.0
3136,Eastern municipalities and their suburbs,City of Maroondah,Mid,"Croydon, Croydon Hills, Croydon North, Croydon South",984250.0,368,666,82,84,265,6,1471,18235,13,0.0,1.0,1.0
